정류장번호,정류장명
DGB3600014000,현수관(경산방향)
DGB3600014400,남산휴게소 건너
DGB3600014500,남산휴게소
DGB3600014700,삼북주공A
DGB3600014800,삼북주공A 건너
DGB3600015100,옥산2지구주차장건너
DGB3600015200,점촌(경산방향)
DGB3600015300,옥산2지구주차장
DGB3690004800,노석2리흰돌건너
DGB3690004810,노석1리(정미소)
DGB3690004820,성남양수장건너
DGB3690004830,태우테크건너
DGB3690004840,행정2리나오테
DGB3690004860,로얄1차앞
DGB3690004870,삼부쇼핑건너
DGB3690004880,더벙골
DGB3690005100,금남1리남산입구
DGB3690005110,금남2리입구
DGB3690005120,군립병원
DGB3690005130,낙산1리가실
DGB3690005140,분도노인마을
DGB3690005150,장미노인요양원건너
